n_participant,n_items,prevalence_type,seed,total_runtime,no_of_cores,name
150.0,120.0,equal,1270,615.6795222759247,1,AMD EPYC 9B45
150.0,120.0,extreme,1270,698.5119299888611,1,AMD EPYC 9B45
300.0,60.0,equal,1270,1068.226459980011,1,AMD EPYC 9B45
300.0,60.0,extreme,1270,1245.491456747055,1,AMD EPYC 9B45
300.0,120.0,equal,1270,1259.5212082862854,1,AMD EPYC 9B45
300.0,120.0,extreme,1270,852.3833870887756,1,AMD EPYC 9B45
150.0,60.0,equal,1271,370.3812510967255,1,AMD EPYC 9B45
150.0,60.0,extreme,1271,259.8769898414612,1,AMD EPYC 9B45
150.0,120.0,equal,1271,627.2023911476135,1,AMD EPYC 9B45
150.0,120.0,extreme,1271,532.552488565445,1,AMD EPYC 9B45
300.0,60.0,equal,1271,1187.909992933273,1,AMD EPYC 9B45
300.0,60.0,extreme,1271,1157.843359708786,1,AMD EPYC 9B45
300.0,120.0,equal,1271,1254.2218070030212,1,AMD EPYC 9B45
300.0,120.0,extreme,1271,1462.7393910884855,1,AMD EPYC 9B45
150.0,60.0,equal,1272,692.2739942073822,1,AMD EPYC 9B45
150.0,60.0,extreme,1272,526.1088960170746,1,AMD EPYC 9B45
150.0,120.0,equal,1272,275.8512463569641,1,AMD EPYC 9B45
150.0,120.0,extreme,1272,681.0183882713318,1,AMD EPYC 9B45
300.0,60.0,equal,1272,1239.9158673286438,1,AMD EPYC 9B45
300.0,60.0,extreme,1272,1158.6355242729187,1,AMD EPYC 9B45
300.0,120.0,equal,1272,1142.3787858486176,1,AMD EPYC 9B45
300.0,120.0,extreme,1272,1439.0243182182312,1,AMD EPYC 9B45
150.0,60.0,equal,1273,414.8377847671509,1,AMD EPYC 9B45
150.0,60.0,extreme,1273,553.8992159366608,1,AMD EPYC 9B45
150.0,120.0,equal,1273,658.1790974140167,1,AMD EPYC 9B45
150.0,120.0,extreme,1273,293.89452934265137,1,AMD EPYC 9B45
300.0,60.0,equal,1273,532.5745840072632,1,AMD EPYC 9B45
300.0,60.0,extreme,1273,1144.2252597808838,1,AMD EPYC 9B45
300.0,120.0,equal,1273,1270.2198266983032,1,AMD EPYC 9B45
300.0,120.0,extreme,1273,1457.9063365459442,1,AMD EPYC 9B45
150.0,60.0,equal,1274,428.54227781295776,1,AMD EPYC 9B45
150.0,60.0,extreme,1274,389.19318532943726,1,AMD EPYC 9B45
150.0,120.0,equal,1274,639.3367660045624,1,AMD EPYC 9B45
150.0,120.0,extreme,1274,441.5480809211731,1,AMD EPYC 9B45
300.0,60.0,equal,1274,660.5863823890686,1,AMD EPYC 9B45
300.0,60.0,extreme,1274,1124.6344830989838,1,AMD EPYC 9B45
300.0,120.0,equal,1274,1282.658310174942,1,AMD EPYC 9B45
300.0,120.0,extreme,1274,1342.189112186432,1,AMD EPYC 9B45
150.0,60.0,equal,1275,575.1192312240601,1,AMD EPYC 9B45
150.0,60.0,extreme,1275,277.6164243221283,1,AMD EPYC 9B45
150.0,120.0,equal,1275,432.9196629524231,1,AMD EPYC 9B45
150.0,120.0,extreme,1275,560.5842328071594,1,AMD EPYC 9B45
300.0,60.0,equal,1275,1331.4329731464386,1,AMD EPYC 9B45
300.0,60.0,extreme,1275,1078.56773519516,1,AMD EPYC 9B45
300.0,120.0,equal,1275,1201.9580483436584,1,AMD EPYC 9B45
300.0,120.0,extreme,1275,1408.831435918808,1,AMD EPYC 9B45
150.0,60.0,equal,1276,464.7054789066314,1,AMD EPYC 9B45
150.0,60.0,extreme,1276,508.8722083568573,1,AMD EPYC 9B45
150.0,120.0,equal,1276,614.2369060516357,1,AMD EPYC 9B45
150.0,120.0,extreme,1276,562.9799926280975,1,AMD EPYC 9B45
300.0,60.0,equal,1276,806.1571424007416,1,AMD EPYC 9B45
300.0,60.0,extreme,1276,1091.2448472976685,1,AMD EPYC 9B45
300.0,120.0,equal,1276,1238.7701892852783,1,AMD EPYC 9B45
300.0,120.0,extreme,1276,1401.5943858623505,1,AMD EPYC 9B45
150.0,60.0,equal,1277,523.30504155159,1,AMD EPYC 9B45
150.0,60.0,extreme,1277,636.4006280899048,1,AMD EPYC 9B45
150.0,120.0,equal,1277,604.9795677661896,1,AMD EPYC 9B45
150.0,120.0,extreme,1277,698.9776339530945,1,AMD EPYC 9B45
300.0,60.0,equal,1277,1323.9976089000702,1,AMD EPYC 9B45
300.0,60.0,extreme,1277,1101.203206062317,1,AMD EPYC 9B45
300.0,120.0,equal,1277,1207.7861490249634,1,AMD EPYC 9B45
300.0,120.0,extreme,1277,1673.9692552089691,1,AMD EPYC 9B45
150.0,60.0,equal,1278,511.0124669075012,1,AMD EPYC 9B45
150.0,60.0,extreme,1278,358.32924008369446,1,AMD EPYC 9B45
150.0,120.0,equal,1278,597.4221231937408,1,AMD EPYC 9B45
150.0,120.0,extreme,1278,718.5968677997589,1,AMD EPYC 9B45
300.0,60.0,equal,1278,836.0808713436127,1,AMD EPYC 9B45
300.0,60.0,extreme,1278,1215.4305472373962,1,AMD EPYC 9B45
300.0,120.0,equal,1278,1244.7999889850616,1,AMD EPYC 9B45
300.0,120.0,extreme,1278,1669.5859558582306,1,AMD EPYC 9B45
150.0,60.0,equal,1279,473.9415409564972,1,AMD EPYC 9B45
150.0,60.0,extreme,1279,498.38541173934937,1,AMD EPYC 9B45
150.0,120.0,equal,1279,605.3622467517853,1,AMD EPYC 9B45
150.0,120.0,extreme,1279,668.158745765686,1,AMD EPYC 9B45
300.0,60.0,equal,1279,861.8340950012207,1,AMD EPYC 9B45
300.0,60.0,extreme,1279,1221.7822070121765,1,AMD EPYC 9B45
300.0,120.0,equal,1279,1246.9990737438202,1,AMD EPYC 9B45
300.0,120.0,extreme,1279,939.2861166000366,1,AMD EPYC 9B45
150.0,60.0,equal,1280,518.7924346923828,1,AMD EPYC 9B45
150.0,60.0,extreme,1280,420.14550590515137,1,AMD EPYC 9B45
150.0,120.0,equal,1280,586.5148615837097,1,AMD EPYC 9B45
150.0,120.0,extreme,1280,518.5431344509125,1,AMD EPYC 9B45
300.0,60.0,equal,1280,1346.4888575077057,1,AMD EPYC 9B45
300.0,60.0,extreme,1280,1077.9768371582031,1,AMD EPYC 9B45
300.0,120.0,equal,1280,869.844025850296,1,AMD EPYC 9B45
