"n_items","n_participants","prevalence","method","seed","accuracy","precision","recall","f1"
120,300,"extreme","hbi","1240",0.876666666666667,0.892443664876597,0.780068216665327,0.793758174695088
60,150,"equal","bf_ps","1241",0.806666666666667,0.856691919191919,0.810748973883985,0.807960332350576
60,150,"equal","psis","1241",0.533333333333333,0.695890957225409,0.527295282720258,0.479010386763401
60,150,"equal","waic","1241",0.5,0.693452380952381,0.496762766128572,0.444810894579151
60,150,"equal","hbi","1241",0.793333333333333,0.836239093338485,0.801229341469616,0.79561742492777
60,150,"extreme","bf_ps","1241",0.913333333333333,0.891867391867392,0.775132275132275,0.807719247745154
60,150,"extreme","psis","1241",0.806666666666667,0.738991820123303,0.609232139019373,0.695641908961462
60,150,"extreme","waic","1241",0.8,0.72611762901618,0.612750094664988,0.702388180519626
60,150,"extreme","hbi","1241",0.88,0.869352346999406,0.723112073112073,0.754038211029093
120,150,"equal","bf_ps","1241",0.9,0.915850815850816,0.872368421052632,0.883014537915073
120,150,"equal","psis","1241",0.606666666666667,0.738828157257598,0.641996015680226,0.572250250944656
120,150,"equal","waic","1241",0.613333333333333,0.744535495464288,0.646757920442131,0.58457172672289
120,150,"equal","hbi","1241",0.813333333333333,0.850907029478458,0.797387700019279,0.792123356519641
120,150,"extreme","bf_ps","1241",0.953333333333333,0.762142857142857,0.92322695035461,0.877621755773016
120,150,"extreme","psis","1241",0.766666666666667,0.680444444444444,0.690927895981088,0.674660894660895
120,150,"extreme","waic","1241",0.766666666666667,0.667261904761905,0.680585106382979,0.660389185977421
120,150,"extreme","hbi","1241",0.886666666666667,0.852374551971326,0.847842789598109,0.772568707617727
60,300,"equal","bf_ps","1241",0.776666666666667,0.824596014946419,0.775336561990957,0.773434370430616
60,300,"equal","psis","1241",0.48,0.651360310927366,0.499692474013689,0.44567188709266
60,300,"equal","waic","1241",0.476666666666667,0.647056091827628,0.496696834892877,0.447423465406323
60,300,"equal","hbi","1241",0.696666666666667,0.721305823443799,0.713032235443648,0.670538804515534
60,300,"extreme","bf_ps","1241",0.896666666666667,0.856109945800667,0.806630426311277,0.802315716213919
60,300,"extreme","psis","1241",0.713333333333333,0.628556536448802,0.486341672511885,0.615305728183026
60,300,"extreme","waic","1241",0.73,0.610652680652681,0.476236750837815,0.602600603058269
60,300,"extreme","hbi","1241",0.88,0.852319179824632,0.785733769776323,0.778211531326383
120,300,"equal","bf_ps","1241",0.833333333333333,0.882137703566275,0.827539155196963,0.826388324786494
120,300,"equal","psis","1241",0.516666666666667,0.699130434782609,0.541010052233146,0.488095527142722
120,300,"equal","waic","1241",0.543333333333333,0.704318866054793,0.566551911171736,0.527561305108246
120,300,"equal","hbi","1241",0.733333333333333,0.779749559645633,0.742950131461641,0.704995614174827
120,300,"extreme","bf_ps","1241",0.926666666666667,0.888905775075988,0.855902655902656,0.856785850370482
120,300,"extreme","psis","1241",0.753333333333333,0.658064883211548,0.511233918842614,0.654127627590626
120,300,"extreme","waic","1241",0.756666666666667,0.661715226971292,0.510223593763966,0.648473342825502
120,300,"extreme","hbi","1241",0.856666666666667,0.862625767316843,0.784535037174789,0.76040408204887
60,150,"equal","bf_ps","1242",0.873333333333333,0.902215431627196,0.868621994252246,0.86849765421194
60,150,"equal","psis","1242",0.533333333333333,0.710459183673469,0.551458905240418,0.497954324582255
60,150,"equal","waic","1242",0.513333333333333,0.708032521308919,0.533935952003179,0.473929804798488
60,150,"equal","hbi","1242",0.76,0.823383899014151,0.751058605260286,0.71608278939106
60,150,"extreme","bf_ps","1242",0.92,0.889196108550947,0.828917748917749,0.850822986537272
60,150,"extreme","psis","1242",0.733333333333333,0.670258980785297,0.493204955963577,0.646547581680696
60,150,"extreme","waic","1242",0.706666666666667,0.658602589037372,0.470347813106434,0.615304084757407
60,150,"extreme","hbi","1242",0.873333333333333,0.851573129251701,0.762597402597403,0.775753288926882
120,150,"equal","bf_ps","1242",0.853333333333333,0.895321230724957,0.859786052682086,0.855419589598895
120,150,"equal","psis","1242",0.573333333333333,0.744011009799337,0.585537446737862,0.544479486165669
120,150,"equal","waic","1242",0.566666666666667,0.728622202761371,0.574607774905934,0.543404174023113
120,150,"equal","hbi","1242",0.786666666666667,0.840113677049767,0.806848065079851,0.788358034008253
120,150,"extreme","bf_ps","1242",0.926666666666667,0.879038613081166,0.830559537081276,0.847818072530555
120,150,"extreme","psis","1242",0.74,0.68695652173913,0.519482932526411,0.641633246794653
120,150,"extreme","waic","1242",0.746666666666667,0.685708534621578,0.508440834527791,0.647217086300204
120,150,"extreme","hbi","1242",0.88,0.841996753246753,0.763192121887774,0.774035500725113
60,300,"equal","bf_ps","1242",0.883333333333333,0.913818677015437,0.874716937874833,0.878338447395382
